NAME IN AUR REPO	PURPOSE (should be a verb phrase to sound right while installing)
alacritty-themes	
anki-bin	
archlinux-java-run	
arch-wiki-man	
autotiling	
brave-bin	
cava	
cli-visualizer	
dia	
downgrade	
dropbox	
gotop-bin	
grabc	
grub2-theme-archlinux	
hardinfo	
i3-gaps-rounded-git	
jabref	
jetbrains-toolbox	
simple-mtpfs	"enables the mounting of cell phones."
la-capitaine-icon-theme	
light-git	
nerd-fonts-dejavu-complete	
nerd-fonts-droid-sans-mono	
nerd-fonts-fira-code	
nerd-fonts-inconsolata	
nerd-fonts-roboto-mono	
nerd-fonts-source-code-pro	
nerd-fonts-ubuntu-mono	
ninvaders	
nsnake	
numix-cursor-theme	
numix-themes-archblue	
pacnews-git	
paru	
postman-bin	
rstudio-desktop-bin	
ruby-clocale	
ruby-colorls	
ruby-erubis	
ruby-filesize	
ruby-unicode-display_width	
ruby-xdg5	
sc-im	"is an Excel-like terminal spreadsheet manager."
smartgit	
smartsvn	
spotify	
task-spooler	"queues up tasks from the shell for batch execution."
teams	
tmuxinator	
ttf-symbola	
urlview	
urxvt-font-size-git	
weka	
zoom	
